journal,abbreviation,year,contains_page,assignee,doi,comments,IF_5year,open,repro_inst,art_class,molecular,software_cite,software_avail,comp_mthds_avail,data_avail,software_used,category,bibtexkey,address,annote,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,url,issn,x.article.pm..title
Forest Pathology,Forest Pathol,2016,150,Zach,10.1111/efp.12263,Original random page number included in previous article. Next sequential article selected,1.481,BOTH,0,Fundamental,TRUE,2,2,0,0,"bowtie, samtools, GenAlEx",ARTICLE,Kim_2016,NA,NA,"M.-S. Kim, P. A. Hohenlohe, K.-H. Kim, S.-T. Seo, N. B. Klopfenstein",NA,NA,NA,NA,M. Hale,NA,NA,NA,feb,NA,2,NA,164--167,Wiley-Blackwell,NA,NA,"Genetic diversity and population structure of \textit{{Raffaelea quercus-mongolicae}}, a fungus associated with oak mortality in South Korea",NA,46,https://doi.org/10.1111%2Fefp.12263,NA,NA
Forest Pathology,Forest Pathol,2017,130,Kaique,10.1111/efp.12313,NA,1.58,BOTH,0,Fundamental,FALSE,1,3,0,0,R,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2012,79,Emerson,10.1111/j.1439-0329.2011.00712.x,Original random page number included in previous article. Next sequential article selected,1.481,BOTH,0,Fundamental,TRUE,2,2,0,0,Quantity One,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2012,141,Emerson,10.1007/s10327-012-0363-0,NA,1.049,BOTH,1,Applied,TRUE,2,3,0,0,MEGA,ARTICLE,Tashiro_2012,NA,NA,"Nobuya Tashiro, Kayo Manabe, Youichi Ide",NA,NA,NA,NA,NA,NA,NA,NA,feb,NA,2,NA,140--144,Springer Nature,NA,NA,"First report of whisker mold, a postharvest disease on citrus caused by \textit{{Penicillium ulaiense}} (in {Japan}",NA,78,https://doi.org/10.1007%2Fs10327-012-0363-0,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2012,99,Adam,10.1007/s10327-012-0367-9,NA,1.049,BOTH,1,Applied,TRUE,0,0,0,0,NA,ARTICLE,Yamamoto_2012,NA,NA,"Jun Yamamoto, Kazuaki Tanaka, Nobuaki Ohtaka, Toyozo Sato",NA,NA,NA,NA,NA,NA,NA,NA,feb,NA,2,NA,99--105,Springer Nature,NA,NA,"Black leaf spot of Japanese persimmon ({\textit{Diospyros kaki}}, a new disease caused by {\textit{Adisciso kaki}} sp. {\textit{nov.}}",NA,78,https://doi.org/10.1007%2Fs10327-012-0367-9,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2013,50,Adam,10.1007/s10327-012-0416-4,NA,1.049,BOTH,1,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2014,99,Zach,10.1007/s10327-013-0480-4,NA,1.049,BOTH,1,Applied,FALSE,1,3,0,3,BLAST,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,1,NA,99--102,NA,NA,NA,Brown root rot of Russell prairie gentian caused by \textitit{{Subplenodomus drobnjacensis}}.,NA,80,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2014,99,Zach,10.1007/s10327-013-0491-1,"Random page number exact duplicate of last, next sequential article selected",1.049,BOTH,1,Applied,TRUE,1,2,0,3,"MEGA, BLAST",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,1,NA,NA,NA,NA,NA,Bacterial leaf blight of sweet pepper (\textit{{Capsicum annuum}} caused by \textit{{Pseudomonas cichorii}} in {Japan},NA,80,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2015,26,Emerson,10.1007/s10327-014-0557-8,NA,1.049,BOTH,1,Applied,FALSE,2,2,0,0,SAS,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2016,52,Adam,10.1007/s10327-015-0633-8,NA,1.049,BOTH,1,Applied,TRUE,3,3,0,0,R,ARTICLE,NA,NA,NA,"Ryo Shukunami, Yutaka Iwamoto, Shinji Sugiura, Kentaro Ikeda, Hitohsi Nakayashiki, Kenichi Ikeda",NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,NA,NA,51--56,NA,NA,NA,Field method to monitor the mycoparasitic fungus \textit{{Coniothyrium minitans}},NA,82,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2017,53,Emerson,10.1007/s10327-016-0690-7,NA,1.049,BOTH,1,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2017,99,Kaique,10.1007/s10327-017-0700-4,NA,1.077,BOTH,0,Applied,FALSE,2,2,0,0,"SPSS, MEGA",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2018,69,Emerson,10.1007%2Fs10327-017-0756-1,NA,1.049,BOTH,1,Applied,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2012,132,Adam,10.1007/s10327-012-0360-3,NA,1.049,BOTH,1,Fundamental,FALSE,0,0,0,0,NA,ARTICLE,Ido_2012,NA,NA,"Yukari Ido, Kenji S. Nakahara, Ichiro Uyeda",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,2,NA,127--132,Springer Nature,NA,NA,White clover mosaic virus-induced gene silencing in pea,NA,78,https://doi.org/10.1007%2Fs10327-012-0360-3,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2012,125,Zach,10.1007/s10327-012-0364-z,NA,1.049,BOTH,1,Fundamental,TRUE,2,3,0,0,"Primer3, BLAST",ARTICLE,Yakabe_2012,NA,NA,"Lani E. Yakabe, M. Malendia Maccree, Padma Sudarshana, Ali E. McClean, Shane R. Parker, William P. Wechter, Gernot Presting, Mizuri Marutani-Hert, Daniel A. Kluepfel",NA,NA,NA,NA,NA,NA,NA,NA,feb,NA,2,NA,121--126,Springer Nature,NA,NA,Novel {PCR} primers for detection of genetically diverse virulent \textit{{Agrobacterium tumefaciens}} biovar 1 strains,NA,78,https://doi.org/10.1007%2Fs10327-012-0364-z,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2013,4,Zach,10.1007/s10327-012-0405-7,NA,1.049,BOTH,1,Fundamental,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,sep,NA,1,NA,1--11,NA,NA,NA,The Medicago truncatula–Mycosphaerella pinodes interaction: a new pathosystem for dissecting fungal-suppressor-mediated disease susceptibility in plants,NA,79,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2013,99,Adam,10.1007/s10327-013-0428-8,NA,1.049,BOTH,1,Fundamental,TRUE,3,2,0,0,"Fgenesh, SignalP, Protcomp",ARTICLE,Zhang_2013,NA,NA,"Hong-yan Zhang, Dong-yang He, Teerapong Kasetsomboon, Heng Zhou, Ping Li, Xiang-long Li, Chatchawan Jantasuriyarat, Bo Zhou",NA,NA,NA,NA,NA,NA,NA,NA,feb,NA,2,NA,96--104,Springer Nature,NA,NA,Analysis of selected singleton transposable elements ({SSTEs} and their application for the development of land {PATE} markers in Magnaporthe oryzae,NA,79,https://doi.org/10.1007%2Fs10327-013-0428-8,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2016,124,Zach,10.1007/s10327-016-0656-9,NA,1.049,BOTH,1,Fundamental,TRUE,1,3,0,0,"BLAST, Clustal W",ARTICLE,Takao_2016,NA,NA,"Kazumi Takao, Yasunori Akagi, Takashi Tsuge, Yoshiaki Harimoto, Mikihiro Yamamoto, Motoichiro Kodama",NA,NA,NA,NA,NA,NA,NA,NA,mar,NA,3,NA,121--131,Springer Nature,NA,NA,"The global regulator {LaeA} controls biosynthesis of host-specific toxins, pathogenicity and development of Alternaria alternata pathotypes",NA,82,https://doi.org/10.1007%2Fs10327-016-0656-9,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2017,117,Kaique,10.1007/s10327-017-0698-7,NA,1.077,BOTH,0,Fundamental,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of General Plant Pathology,J Plant Pathol,2018,108,Kaique,10.1007/s10327-018-0765-8,NA,1.164,BOTH,0,Fundamental,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2013,72,Emerson,10.1111/jph.12027,NA,1.063,BOTH,1,Applied,FALSE,2,2,0,0,SPSS,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2013,87,Adam,10.1111/jph.12029,NA,1.063,BOTH,1,Applied,TRUE,3,3,0,0,"BLAST, MEGA",NA,NA,NA,NA,"Yunior Mora ́n, Osmani Chaco ́n, Maria del Carmen Co ́rdoba-Selle ́s, Rosario Dom ́ınguez-Larrinaga, Lidcay Herrera, Orlando Borra ́s-Hidalgo",NA,NA,NA,NA,NULL,NA,NA,NA,oct,NA,2,NA,86--91,NA,NA,NA,Identification and Molecular Characterization of \textit{Nocardia} sp. as a New Causal Agent of Tobacco False Broomrape,NA,161,https://doi.org/10.1111/jph.12029,NA,NA
Journal of Phytopathology,J Phytopathol,2013,57,Zach,10.1111/jph.12031,NA,1.063,BOTH,1,Applied,FALSE,0,1,0,1,GeneMapper,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,1,NA,49--58,NA,NA,NA,Emergence of 13_A2 Blue Lineage of \textit{{Phytophthora infestans}} was Responsible for Severe Outbreaks of Late Blight on Tomato in South-West {India},NA,161,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2015,67,Adam,10.1111/jph.12259,NA,1.063,BOTH,1,Applied,TRUE,1,2,0,0,PRIMEREXPLORER,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2015,2,Adam,10.1111/jph.12274,NA,1.063,BOTH,1,Applied,FALSE,3,2,0,0,SAS,NA,NA,NA,NA,"Pedro Mondino, Leticia Casanova, Antonella Celio, Oscar Bentancur, Carolina Leoni, Sandra Alaniz",NA,NA,NA,NA,NULL,NA,NA,NA,may,NA,1,NA,1--10,NA,NA,NA,Sensitivity of Venturia inaequalis to Trifloxystrobin and Difenoconazole in {Uruguay},NA,163,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2017,36,Emerson,10.1111/jph.12533,NA,1.063,BOTH,1,Applied,FALSE,2,2,0,0,DSAASTAT (Excel macro),NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2017,105,Emerson,10.1111/jph.12543,NA,1.063,BOTH,1,Applied,FALSE,2,2,0,0,Statistica,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2018,9,Kaique,10.1111/jph.12653,NA,1.017,BOTH,1,Applied,FALSE,1,2,0,0,GenStat,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2018,20,Kaique,10.1111/jph.12655,NA,1.017,BOTH,1,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2018,101,Kaique,10.1111/jph.12666,NA,1.017,BOTH,1,Applied,FALSE,NA,NA,NA,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2013,143,Adam,10.1111/jph.12038,NA,1.063,BOTH,1,Fundamental,TRUE,3,2,0,0,"SigmaPlot, AlphaEase FC",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2014,53,Adam,10.1111/jph.12158,NA,1.063,BOTH,1,Fundamental,FALSE,3,2,0,0,SPSS,NA,NA,NA,NA,"Yonghong Ge, David I. Guest, Yang Bi",NA,NA,NA,NA,NULL,NA,NA,NA,aug,NA,2,NA,48--54,NA,NA,NA,Differences in the Induction of Defence Responses in Resistant and Susceptible Muskmelon Plants Infected with \textit{{Colletotrichum lagenarium}},NA,162,https://doi.org/10.1111/jph.12158,NA,NA
Journal of Phytopathology,J Phytopathol,2018,121,Emerson,10.1111/jph.12667,NA,1.063,BOTH,1,Fundamental,TRUE,1,3,0,0,Smart,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Phytopathology,J Phytopathol,2018,149,Emerson,10.1111/jph.12670,NA,1.063,BOTH,1,Fundamental,TRUE,2,3,0,0,MEGA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2012,70,Zach,10.4454/jpp.fa.2012.003,Original random page number included in previous article. Next sequential article selected,1.138,BOTH,1,Applied,TRUE,2,2,0,0,"Clustal X, Primer Express, LinRegPCR software, BLAST",ARTICLE,Shegani2012,NA,NA,"M. Shegani, D. Tsikou, A. Velimirovic, H. Afifi, A. Karayanni, A. Gazivoda, K. Manevski, I. Manakos, I.C. Livieratos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,71--78,NA,NA,NA,Citrus tristeza virus on the island of {Crete}: a survey and detection protocol applications,NA,94,http://doi.org/10.4454/jpp.fa.2012.003,1125-4653,NA
Journal of Plant Pathology,J Phytopathol,2013,125,Zach,10.4454/jpp.v95i1.028,NA,1.138,BOTH,1,Applied,TRUE,2,2,0,0,"Excel, PHYLIP, BLAST, SeaView4",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,1,NA,115--126,NA,NA,NA,Occurrence of crown gall of the grapevine in {Tunisia} and characterization of {Tunisian} \textit{{Agrobacterium vitis}} and \textit{{A. Tumefaciens}} strains,NA,95,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2016,2,Adam,10.4454/jpp.v98i1.028,"Original random page number is review, next sequential article selected",1.138,BOTH,1,Applied,TRUE,3,2,0,3,DNAMAN,NA,NA,NA,NA,"H.F. El-Kammar, O.M. El-Banna, A.H. Hamed, M.S. Abbas, A.K. El-Attar",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,1,NA,15--24,NA,NA,NA,"SEROLOGICAL, MOLECULAR AND ULTRASTRUCTURAL STUDIES ON TOBACCO RATTLE VIRUS-INFECTED POTATO PLANTS IN EGYPT",NA,98,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2018,62,Kaique,10.1007/s42161-018-0028-8,NA,1.041,BOTH,1,Fundamental,TRUE,1,2,0,3,"Clustal W, MEGA, RDP3",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2018,70,Kaique,10.1007/s42161-018-0029-7,NA,1.041,BOTH,1,Fundamental,TRUE,2,2,0,0,"CLUSTAL omega, MEGA,",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2018,109,Emerson,10.1007/s42161-018-0054-6,NA,1.138,BOTH,1,Fundamental,TRUE,2,3,0,0,"DNAMAN, MEGA",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2012,60,Emerson,10.4454/jpp.fa.2012.002,NA,1.138,BOTH,1,Fundamental,FALSE,0,0,0,0,NA,ARTICLE,Suarez-Estrella2012,NA,NA,"F. Suárez-Estrella, M.A. Bustamante, R. Moral, M.C. Vargas-García, M.J. López, J. Moreno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,IN VITRO CONTROL OF FUSARIUM WILT USING AGROINDUSTRIAL SUBPRODUCT-BASED COMPOSTS,NA,94,http://doi.org/10.4454/jpp.fa.2012.002,1125-4653,NA
Journal of Plant Pathology,J Phytopathol,2012,104,Emerson,10.4454/jpp.fa.2012.019,NA,1.138,BOTH,1,Fundamental,TRUE,2,2,0,0,GenMaker,ARTICLE,Ali2012,NA,NA,"H. Ali, S.S. Alam, R.N. Attanayake, M. Rahman, W. Chen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,POPULATION STRUCTURE AND MATING TYPE DISTRIBUTION OF THE CHICKPEA BLIGHT PATHOGEN \textit{ASCOCHYTA RABIEI} FROM PAKISTAN AND THE UNITED STATES,NA,94,http://doi.org/10.4454/jpp.fa.2012.019,1125-4653,NA
Journal of Plant Pathology,J Phytopathol,2013,33,Emerson,10.4454/jpp.v95i1.003,NA,1.138,BOTH,1,Fundamental,TRUE,2,2,0,0,"MEGA, SplitsTree4, Clustal W",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2013,107,Adam,10.4454/jpp.v95i1.004,NA,1.138,BOTH,1,Fundamental,TRUE,1,1,0,0,Photo-Capt,NA,NA,NA,NA,"S. Baghaee Ravari, K. Moslemkhani, P. Khodaygan",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,1,NA,107--113,NA,NA,NA,ASSESSMENT OF GENETIC VARIABILITY OF PREVALENT PECTINOLYTIC BACTERIA CAUSING POTATO TUBER SOFT ROT IN EASTERN IRAN,NA,95,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2014,144,Emerson,10.4454/jpp.v95i1.013,NA,1.138,BOTH,1,Fundamental,TRUE,2,2,0,0,Clustal X,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2015,97,Adam,10.4454/jpp.v97i1.013,NA,1.138,BOTH,1,Fundamental,TRUE,NA,NA,NA,1,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2016,105,Zach,10.4454/jpp.v98i1.030,NA,1.138,BOTH,1,Fundamental,TRUE,3,2,0,3,"Clustal X, BioEdit, MEGA, RDP",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,1,NA,105--110,NA,NA,NA,GENETIC VARIABILITY OF THE REPLICASE (NIB GENE OF PAPAYA RINGSPOT VIRUS IN NORTHERN INDIA INDICATES COMMON ANCESTRY WITH ISOLATES FROM CHINA AND TAIWAN,NA,98,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2016,132,Emerson,10.4454/jpp.v98i1.071,NA,1.138,BOTH,1,Fundamental,TRUE,2,2,0,0,SPSS,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Plant Pathology,J Phytopathol,2017,17,Emerson,10.4454/jpp.v99i1.3771,changed from page 13 (review) to 17,1.138,BOTH,1,Fundamental,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2012,37,Adam,10.1111/j.1364-3703.2011.00723.x,NA,4.819,BOTH,2,Fundamental,TRUE,3,0,0,1,"BLASTX, MycorWeb, ESTate, TBLASTX, BLASTP, SignalP, TargetP, TMHMM, Clustal W2",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2012,66,Emerson,10.1111/j.1364-3703.2011.00726.x,NA,4.819,BOTH,2,Fundamental,TRUE,0,0,0,0,GenStat,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2012,78,Emerson,10.1111/j.1364-3703.2011.00731.x,NA,4.819,BOTH,2,Fundamental,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2012,108,Zach,10.1111/j.1364-3703.2011.00733.x,"Original random page number is review, next sequential article selected",4.819,BOTH,2,Fundamental,TRUE,2,1,0,1,"PAML v4.3, 7300 System Sequence Detection Software
(Version 1.4)",NA,NA,NA,NA,"CUI, L., YIN, W., DONG, S., WANG, Y.",NA,NA,NA,NA,NULL,NA,NA,NA,feb,NA,2,NA,114--122,NA,NA,NA,Analysis of polymorphism and transcription of the effector gene {Avr1b} in {\textit{Phytophthora sojae}} isolates from {China} virulent to {Rps1b},NA,13,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2012,140,Adam,10.1111/j.1364-3703.2011.00736.x,NA,4.819,BOTH,2,Fundamental,TRUE,3,3,0,1,"REST, NJPLOT",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2012,142,Adam,10.1111/j.1364-3703.2011.00737.x,"Original random page number is in previous article, selected next article",4.819,BOTH,2,Fundamental,TRUE,0,0,0,1,BLAST,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2013,18,Zach,10.1111/j.1364-3703.2012.00825.x,"Original random page number is pathogen profile, next sequential article selected",4.819,BOTH,2,Fundamental,TRUE,1,0,0,0,7300 System SDS software,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,1,NA,19--29,NA,NA,NA,"\textit{{Botrytis cinerea}} mutants deficient in {D-galacturonic} acid catabolism have a perturbed virulence on \textit{{Nicotiana benthamiana}} and \textit{{Arabidopsis}}, but not on tomato.",NA,14,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2013,57,Adam,10.1111/j.1364-3703.2012.00826.x,NA,4.819,BOTH,2,Fundamental,FALSE,0,0,0,0,NA,NA,NA,NA,NA,"BRISA RAMOS, PABLO GONZÁLEZ-MELENDI, ANDREA SÁNCHEZ-VALLET, CLARA SÁNCHEZ-RODRÍGUEZ, GEMMA LÓPEZ, ANTONIO MOLINA",NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,1,NA,44--57,NA,NA,NA,Functional genomics tools to decipher the pathogenicity mechanisms of the necrotrophic fungus \textit{{Plectosphaerella cucumerina}} in \textit{{Arabidopsis thaliana}},NA,14,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2013,141,Zach,10.1111/j.1364-3703.2012.00836.x,NA,4.819,BOTH,2,Fundamental,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,2,NA,131-144,NA,NA,NA,"{CaWRKY58}, encoding a group {I WRKY} transcription factor of \textit{{Capsicum annuum}}, negatively regulates resistance to \textit{{Ralstonia solanacearum}} infection.",NA,14,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2014,53,Zach,10.1111/mpp.12064,NA,4.819,BOTH,2,Fundamental,TRUE,1,1,0,3,"SAS, R, GenePix Pro",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,aug,NA,1,NA,44--57,NA,NA,NA,Small-molecule inhibitors suppress the expression of both type III secretion and amylovoran biosynthesis genes in \textit{{Erwinia amylovora}},NA,15,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2014,139,Adam,10.1111/mpp.12072,NA,4.819,BOTH,2,Fundamental,TRUE,3,2,0,2,"SignalP, InterproScan, GenomeThreader",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2015,145,Zach,10.1111/mpp.12167,NA,4.819,BOTH,2,Fundamental,TRUE,3,2,0,1,"OrthoMCL, DAMBE, MrBayes, PHYLIP, GraphPad",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,2,NA,137--149,NA,NA,NA,A framework to gauge the epidemic potential of plant pathogens in environmental reservoirs: the example of kiwifruit canker,NA,16,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2016,10,Adam,10.1111/mpp.12257,NA,4.819,BOTH,2,Fundamental,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molecular Plant Pathology,Mol Plant Pathol,2016,116,Zach,10.1111/mpp.12267,NA,4.819,BOTH,2,Fundamental,TRUE,1,1,0,0,"BLAST, PDQuest, MASCOT",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,may,NA,1,NA,108--119,NA,NA,NA,"{SNARE} protein {FgVam7} controls growth, asexual and sexual development, and plant infection in \textit{{Fusarium graminearum}}",NA,17,NA,NA,NA
